"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"20130320.Plate.4"	6	3	n	1	0.0	0.09
DMSO	"10Jun2015.Plate.40"	6	3	n	1	0.0	0.09
DMSO	"03Sep2014.Plate.9"	6	3	n	1	0.0	1.25
DMSO	"02Apr2014.Plate.32"	7	3	n	1	0.0	0.76
DMSO	"20130320.Plate.6"	7	3	n	1	0.0	0.061
DMSO	"10Jun2015.Plate.5"	6	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.7"	7	3	n	1	0.0	0.59
DMSO	"20130320.Plate.8"	7	3	n	1	0.0	0.115
DMSO	"09Apr2014.Plate.22"	6	3	n	1	0.0	0.37
DMSO	"20130321.Plate.8"	2	2	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.26"	6	3	n	1	0.0	0.6
DMSO	"09Apr2014.Plate.3"	6	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.33"	6	3	n	1	0.0	0.58
DMSO	"10Jun2015.Plate.14"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.6"	6	3	n	1	0.0	0.63
DMSO	"10Jun2015.Plate.9"	7	3	n	1	0.0	0.13
DMSO	"10Jun2015.Plate.18"	7	3	n	1	0.0	0.16
DMSO	"26Mar2014.Plate.1"	6	3	n	1	0.0	0.11
DMSO	"09Apr2014.Plate.11"	6	3	n	1	0.0	0.71
DMSO	"02Apr2014.Plate.11"	6	3	n	1	0.0	0.63
DMSO	"20130321.Plate.2"	2	2	n	1	0.0	0.395
DMSO	"10Jun2015.Plate.21"	7	3	n	1	0.0	0.11
DMSO	"26Mar2014.Plate.13"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.15"	6	3	n	1	0.0	0.52
DMSO	"02Apr2014.Plate.15"	6	3	n	1	0.0	0.61
DMSO	"20130320.Plate.10"	7	3	n	1	0.0	0.126
DMSO	"20130321.Plate.4"	2	2	n	1	0.0	0.424
DMSO	"10Jun2015.Plate.25"	7	3	n	1	0.0	0.16
DMSO	"03Sep2014.Plate.12"	7	3	n	1	0.0	1.25
DMSO	"26Mar2014.Plate.17"	7	3	n	1	0.0	0.13
DMSO	"09Apr2014.Plate.19"	6	3	n	1	0.0	0.48
DMSO	"02Apr2014.Plate.19"	6	3	n	1	0.0	0.74
DMSO	"20130320.Plate.12"	7	3	n	1	0.0	0.126
DMSO	"20130321.Plate.6"	2	2	n	1	0.0	0.364
DMSO	"10Jun2015.Plate.2"	7	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.16"	7	3	n	1	0.0	1.25
DMSO	"26Mar2014.Plate.20"	7	3	n	1	0.0	0.08
DMSO	"02Apr2014.Plate.22"	6	3	n	1	0.0	0.62
DMSO	"20130320.Plate.14"	7	3	n	1	0.0	0.125
DMSO	"10Jun2015.Plate.33"	7	3	n	1	0.0	0.11
DMSO	"03Sep2014.Plate.21"	7	3	n	1	0.0	1.31
DMSO	"26Mar2014.Plate.5"	7	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.26"	6	3	n	1	0.0	0.7
DMSO	"20130320.Plate.2"	7	3	n	1	0.0	0.109
DMSO	"10Jun2015.Plate.37"	7	3	n	1	0.0	0.16
DMSO	"03Sep2014.Plate.5"	7	3	n	1	0.0	1.47
DMSO	"26Mar2014.Plate.9"	7	3	n	1	0.0	0.1
DMSO	"02Apr2014.Plate.3"	6	3	n	1	0.0	0.74
DMSO	"20130320.Plate.4"	7	3	n	1	0.0	0.09
DMSO	"10Jun2015.Plate.40"	7	3	n	1	0.0	0.19
DMSO	"03Sep2014.Plate.9"	7	3	n	1	0.0	1.37
DMSO	"02Apr2014.Plate.4"	6	3	n	1	0.0	0.33
DMSO	"20130320.Plate.7"	2	2	n	1	0.0	0.144
DMSO	"10Jun2015.Plate.5"	7	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.8"	6	3	n	1	0.0	0.57
DMSO	"20130320.Plate.9"	2	2	n	1	0.0	0.105
DMSO	"09Apr2014.Plate.22"	7	3	n	1	0.0	0.47
DMSO	"20130321.Plate.8"	2	3	n	1	0.0	0.408
DMSO	"09Apr2014.Plate.26"	7	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.3"	7	3	n	1	0.0	0.45
DMSO	"03Sep2014.Plate.19"	6	3	n	1	0.0	1.25
DMSO	"10Jun2015.Plate.10"	6	3	n	1	0.0	0.11
DMSO	"09Apr2014.Plate.33"	7	3	n	1	0.0	0.52
DMSO	"10Jun2015.Plate.6"	6	3	n	1	0.0	0.11
DMSO	"10Jun2015.Plate.15"	6	3	n	1	0.0	0.14
DMSO	"09Apr2014.Plate.6"	7	3	n	1	0.0	0.57
DMSO	"02Apr2014.Plate.8"	7	3	n	1	0.0	0.58
DMSO	"20130320.Plate.9"	2	3	n	1	0.0	0.129
DMSO	"10Jun2015.Plate.12"	7	3	n	1	0.0	0.12
DMSO	"10Jun2015.Plate.19"	6	3	n	1	0.0	0.14
DMSO	"26Mar2014.Plate.1"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.11"	7	3	n	1	0.0	0.49
DMSO	"02Apr2014.Plate.11"	7	3	n	1	0.0	0.67
DMSO	"20130320.Plate.1"	2	2	n	1	0.0	0.092
DMSO	"20130321.Plate.2"	2	3	n	1	0.0	0.439
DMSO	"10Jun2015.Plate.22"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.1"	6	3	n	1	0.0	1.21
DMSO	"26Mar2014.Plate.13"	7	3	n	1	0.0	0.12
DMSO	"09Apr2014.Plate.15"	7	3	n	1	0.0	0.62
DMSO	"02Apr2014.Plate.15"	7	3	n	1	0.0	0.66
DMSO	"20130320.Plate.11"	2	2	n	1	0.0	0.153
DMSO	"20130321.Plate.4"	2	3	n	1	0.0	0.454
DMSO	"10Jun2015.Plate.26"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.13"	6	3	n	1	0.0	1.15
DMSO	"26Mar2014.Plate.18"	6	3	n	1	0.0	0.08
DMSO	"09Apr2014.Plate.19"	7	3	n	1	0.0	0.68
DMSO	"02Apr2014.Plate.19"	7	3	n	1	0.0	0.65
DMSO	"20130320.Plate.13"	2	2	n	1	0.0	0.152
DMSO	"20130321.Plate.6"	2	3	n	1	0.0	0.333
DMSO	"10Jun2015.Plate.30"	6	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.17"	6	3	n	1	0.0	1.15
DMSO	"26Mar2014.Plate.21"	6	3	n	1	0.0	0.07
DMSO	"02Apr2014.Plate.22"	7	3	n	1	0.0	0.58
DMSO	"20130320.Plate.15"	2	2	n	1	0.0	0.132
DMSO	"10Jun2015.Plate.34"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.22"	6	3	n	1	0.0	1.2
