"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"20130321.Plate.1"	2	2	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.2"	6	3	n	1	0.0	1.15
DMSO	"03Sep2014.Plate.21"	6	3	n	1	0.0	0.28
DMSO	"02Apr2014.Plate.32"	6	3	n	1	0.0	0.2
DMSO	"20130321.Plate.3"	2	2	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.33"	6	3	n	1	0.0	0.9
DMSO	"03Sep2014.Plate.5"	6	3	n	1	0.0	0.28
DMSO	"02Apr2014.Plate.7"	6	3	n	1	0.0	0.27
DMSO	"20130321.Plate.5"	2	2	n	1	0.0	0.3
DMSO	"10Jun2015.Plate.37"	6	3	n	1	0.0	0.99
DMSO	"03Sep2014.Plate.9"	6	3	n	1	0.0	0.27
DMSO	"09Apr2014.Plate.10"	6	3	n	1	0.0	0.35
DMSO	"20130321.Plate.7"	2	2	n	1	0.0	0.18
DMSO	"09Apr2014.Plate.25"	7	3	n	1	0.0	0.34
DMSO	"09Apr2014.Plate.29"	7	3	n	1	0.0	0.29
DMSO	"03Sep2014.Plate.20"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.32"	7	3	n	1	0.0	0.27
DMSO	"20130320.Plate.10"	2	2	n	1	0.0	0.42
DMSO	"09Apr2014.Plate.5"	7	3	n	1	0.0	0.34
DMSO	"20130320.Plate.12"	2	2	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.9"	7	3	n	1	0.0	0.31
DMSO	"02Apr2014.Plate.10"	7	3	n	1	0.0	0.31
DMSO	"20130320.Plate.14"	2	2	n	1	0.0	0.3
DMSO	"10Jun2015.Plate.40"	7	3	n	1	0.0	0.79
DMSO	"26Mar2014.Plate.12"	7	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.14"	7	3	n	1	0.0	0.4
DMSO	"02Apr2014.Plate.14"	7	3	n	1	0.0	0.26
DMSO	"20130321.Plate.9"	2	3	n	1	0.0	0.26
DMSO	"20130320.Plate.2"	2	2	n	1	0.0	0.42
DMSO	"10Jun2015.Plate.5"	7	3	n	1	0.0	1.07
DMSO	"10Jun2015.Plate.14"	7	3	n	1	0.0	1.12
DMSO	"26Mar2014.Plate.17"	6	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.18"	7	3	n	1	0.0	0.29
DMSO	"02Apr2014.Plate.18"	7	3	n	1	0.0	0.25
DMSO	"20130320.Plate.4"	2	2	n	1	0.0	0.49
DMSO	"10Jun2015.Plate.9"	7	3	n	1	0.0	1.06
DMSO	"10Jun2015.Plate.18"	7	3	n	1	0.0	1.08
DMSO	"26Mar2014.Plate.20"	6	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.21"	7	3	n	1	0.0	0.49
DMSO	"02Apr2014.Plate.21"	7	3	n	1	0.0	0.22
DMSO	"20130320.Plate.6"	2	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.21"	7	3	n	1	0.0	1.02
DMSO	"03Sep2014.Plate.12"	7	3	n	1	0.0	0.3
DMSO	"26Mar2014.Plate.5"	6	3	n	1	0.0	0.46
